index,tozeret_cd,tozar,kinuy_mishari,ramat_gimur,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm,automatic_ind,mispar_halonot_hashmal,halon_bagg_ind,galgaley_sagsoget_kala_ind,argaz_ind,merkav,sug_degem,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,bakarat_yatzivut_ind,kosher_grira_im_blamim,kosher_grira_bli_blamim,technologiat_hanaa_cd,technologiat_hanaa_nm,bakarat_stiya_menativ_ind,bakarat_stiya_menativ_makor_hatkana,nitur_merhak_milfanim_ind,nitur_merhak_milfanim_makor_hatkana,zihuy_beshetah_nistar_ind,bakarat_shyut_adaptivit_ind,zihuy_holchey_regel_ind,zihuy_holchey_regel_makor_hatkana,maarechet_ezer_labalam_ind,matzlemat_reverse_ind,hayshaney_lahatz_avir_batzmigim_ind,hayshaney_hagorot_ind,teura_automatit_benesiya_kadima_ind,shlita_automatit_beorot_gvohim_ind,shlita_automatit_beorot_gvohim_makor_hatkana,zihuy_matzav_hitkarvut_mesukenet_ind,zihuy_tamrurey_tnua_ind,zihuy_rechev_do_galgali,zihuy_tamrurey_tnua_makor_hatkana,bakarat_stiya_activ_s,blima_otomatit_nesia_leahor,bakarat_mehirut_isa,n_model
3556,722,ב מ וו,X5 XDRIVE 30D,LUXURY,2013,1,7,2993,2780,190.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,258,5,1,2220,750,,הנעה רגילה,0,,0,,0,0,0,,1,1,1,0,0,0,,0,0,0,,0,0,0,X5
3557,722,ב מ וו,X5 XDRIVE 30D,LUXURY,2014,1,7,2993,2780,190.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,258,5,1,2220,750,,הנעה רגילה,0,,0,,0,0,0,,1,1,1,0,0,0,,0,0,0,,0,0,0,X5
3558,722,ב מ וו,X5 XDRIVE 30D,LUXURY,2015,1,7,2993,2780,190.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,258,5,1,2220,750,,הנעה רגילה,0,,0,,0,0,0,,1,1,1,0,0,0,,0,0,0,,0,0,0,X5
3559,722,ב מ וו,X5 3.0I,,2004,10,7,2979,2635,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,231,5,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5
3560,722,ב מ וו,X4 XDRIVE 20D,SPORT,2016,15,7,1995,2335,170.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,190,5,1,1895,750,,הנעה רגילה,1,יצרן,1,יצרן,0,0,1,יצרן,1,0,1,0,0,0,,0,0,0,,0,0,0,X4
3561,722,ב מ וו,X5 3.0D,,2004,20,7,2993,2685,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,218,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5
3562,722,ב מ וו,X5 3.0D,,2005,20,7,2993,2685,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,218,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5
3563,722,ב מ וו,X5 3.0D,,2006,20,7,2993,2685,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,218,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5
3564,722,ב מ וו,X5 XDRIVE 40E,EXCLUSIVE,2016,25,7,1997,2980,170.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,7,חשמל/בנזין,5,313,5,1,2700,750,2.0,PLUG IN,1,יצרן,1,יצרן,1,1,1,יצרן,1,1,1,0,0,1,יצרן,1,0,0,,0,0,0,X5
3565,722,ב מ וו,X5 XDRIVE 40E,EXCLUSIVE,2017,25,7,1997,2980,170.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,7,חשמל/בנזין,5,313,5,1,2700,750,2.0,PLUG IN,1,יצרן,1,יצרן,1,1,1,יצרן,1,1,1,0,0,1,יצרן,1,0,0,,0,0,0,X5
3566,722,ב מ וו,X5 4.4I,,2004,30,7,4398,2700,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,320,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5
3567,722,ב מ וו,X5 4.4I,,2005,30,7,4398,2700,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,320,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5
